timestamp,open,high,low,close,volume,SMA,EMA,WMA,DEMA,TEMA,TRIMA,KAMA,MAMA-FAMA,MAMA-MAMA,T3,MACD-MACD,MACD-MACD_Hist,MACD-MACD_Signal,MACDEXT-MACD,MACDEXT-MACD_Hist,MACDEXT-MACD_Signal,SlowD,SlowK,STOCHF-FastD,STOCKF-FastK,RSI,STOCHRSI-FastD,STOCHRSI-FastK,WILLR,ADX,ADXR,APO,PPO
7/7/2014,26039.6699,26123.5508,25992.7305,26100.0801,8900,25495.7371,25609.2994,25645.2271,25843.4412,25923.3727,25446.2151,25438.029,19544.0841,22072.8629,25487.5935,371.2694,-7.1755,378.4448,101.9316,-83.6423,185.5739,90.8146,91.2539,91.2539,96.4264,68.7262,97.4909,100,-2.1292,25.2295,23.9988,101.9316,0.4023
7/4/2014,25844.8008,25981.5098,25659.3301,25962.0605,9500,25402.5791,25513.6615,25529.3924,25704.1969,25758.2847,25349.6967,25308.2064,19531.3767,22032.7941,25445.5273,352.1488,-28.0899,380.2387,109.4222,-110.7882,220.2104,91.1097,91.5234,91.5234,95.4828,65.2055,97.4909,92.4728,-3.3041,24.083,23.5041,109.4222,0.433
7/3/2014,25875.75,25999.0801,25793.6992,25823.75,3700,25341.8529,25440.0751,25437.9473,25599.3651,25634.2271,25285.3643,25252.2987,19518.8067,21994.289,25422.6738,342.4631,-44.7981,387.2612,136.9548,-121.1992,258.154,84.9879,89.6665,89.6665,81.8525,66.2719,100,100,-15.6486,23.4376,23.7631,136.9548,0.543
7/2/2014,25660.5703,25864.5293,25660.1602,25841.2109,12300,25286.9869,25343.2584,25330.8995,25441.1296,25422.3198,25248.4359,25201.0702,19506.3671,21955.0823,25418.4941,321.9682,-76.4925,398.4607,129.154,-164.8695,294.0235,73.2181,92.1391,92.1391,97.2349,62.4268,72.0593,100,-2.3653,21.5552,22.9008,129.154,0.5131
7/1/2014,25469.9395,25571.9004,25466.7695,25516.3496,10600,25277.4488,25272.7446,25261.241,25321.8512,25250.0968,25238.2329,25196.3653,19494.062,21917.6532,25434.2161,313.0351,-104.5487,417.5838,129.1599,-204.6612,333.821,59.5084,73.1582,73.1582,89.9121,58.6701,38.726,100,-12.7193,19.9834,22.1602,129.1599,0.5138
6/30/2014,25179.5508,25460.9609,25179.5508,25413.7793,9500,25249.401,25228.9236,25221.1431,25245.1217,25124.5134,25238.4535,25189.2012,19481.8832,21881.7715,25463.3472,316.4898,-127.2312,443.721,167.8056,-206.3842,374.1899,55.1042,54.357,54.357,89.2703,52.1048,12.2089,16.1779,-26.7581,19.5336,21.8554,167.8056,0.6681
6/27/2014,25132.0801,25209.6094,25032.9395,25099.9199,10100,25255.3959,25239.8953,25234.9331,25270.6647,25137.8259,25254.8581,25189.2766,19469.8234,21848.4606,25498.0918,345.8626,-129.6662,475.5288,227.3956,-179.6365,407.0322,55.5656,51.01,51.01,40.292,50.9586,40.1496,0,-69.7161,19.591,21.8978,227.3956,0.9063
6/26/2014,25217.6895,25309.3301,25021.2305,25062.6699,10300,25309.893,25263.8542,25267.2627,25325.4202,25193.8582,25288.2952,25192.6242,19457.8705,21815.2927,25529.7234,383.1557,-124.7897,507.9453,298.1711,-136.0794,434.2505,49.3304,59.9457,59.9457,33.5087,53.0179,40.7074,20.4487,-77.2729,21.0542,23.1031,298.1711,1.1896
6/25/2014,25421.4902,25427.8008,25274.3906,25313.7402,7700,25347.8451,25274.1131,25290.9274,25359.6192,25222.7614,25327.221,25191.7489,19446.0241,21780.9251,25556.1223,416.4653,-122.6774,539.1427,370.17,-89.0433,459.2133,35.1145,55.7411,55.7411,79.2293,58.0433,33.8911,100,-46.2632,22.6801,24.1893,370.17,1.4787
6/24/2014,25115.8301,25414.6895,25115.8301,25368.9004,9700,25370.758,25241.3626,25281.7034,25313.1197,25132.0999,25365.3477,25186.9805,19434.291,21744.1517,25577.8722,432.1723,-137.6398,569.8121,413.6604,-66.5463,480.2068,23.2231,32.3043,32.3043,67.0993,51.8875,0.5578,1.6734,-42.8097,22.7681,23.9689,413.6604,1.6547
